0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
42,N,4,21,23304,53
46,N,3,19,23304,53
42,N,1,13,23304,53
73,411011,4,21,23304,53
68,N,4,21,23304,53
111,131082,4,21,23304,53
113,999920,5,22,23304,53
98,N,1,4,23304,53
98,N,1,1,23304,53
80,151252,4,21,23304,53
69,436014,3,19,23304,53
106,151252,5,22,23304,53
42,411011,4,21,23304,53
41,151252,5,22,23304,53
47,N,1,2,23304,53
65,291210,5,23,23304,53
49,272022,2,16,23304,53
57,N,4,21,23304,53
43,N,5,22,23304,53
36,N,5,24,23304,53
62,N,4,21,23304,53
61,N,5,22,23304,53
59,119141,4,21,23304,53
64,119141,4,21,23304,53
35,N,4,20,23304,53
215,531000,4,21,23304,53
197,531000,5,22,23304,53
34,N,4,21,23304,53
34,113021,5,22,23304,53
60,1110XX,4,21,23304,53
77,131121,4,21,23304,53
36,1191XX,4,21,23304,53
36,291210,5,23,23304,53
32,N,1,9,23304,53
32,N,1,6,23304,53
46,291123,5,24,23304,53
50,N,5,22,23304,53
70,1110XX,5,22,23304,53
59,N,1,7,23304,53
60,N,1,4,23304,53
66,151252,4,21,23304,53
66,N,4,21,23304,53
77,151252,4,21,23304,53
60,291141,4,21,23304,53
87,N,1,12,23304,53
38,N,3,19,23304,53
69,151212,4,21,23304,53
77,17302X,4,20,23304,53
41,151252,5,22,23304,53
8,131111,5,23,23304,53
10,413031,5,22,23304,53
8,N,1,11,23304,53
9,N,1,9,23304,53
7,N,1,8,23304,53
31,119141,4,21,23304,53
36,111021,4,21,23304,53
37,351011,3,18,23304,53
67,113031,5,22,23304,53
73,434051,5,22,23304,53
74,N,1,4,23304,53
33,412031,5,22,23304,53
37,399011,4,20,23304,53
35,N,1,13,23304,53
38,N,1,9,23304,53
32,N,1,12,23304,53
52,474011,4,21,23304,53
58,N,3,19,23304,53
35,132011,5,22,23304,53
36,411012,4,20,23304,53
28,272022,1,14,23304,53
35,N,1,11,23304,53
413,252010,1,12,23304,53
267,252010,2,16,23304,53
